T,n,y,MSE,Variance,Bias^2,Method
3,5461,16384,1.0523965069089345,0.6655410478680797,0.38685545904085494,k-NN
3,10922,32768,1.040696585024085,0.6761017698373597,0.36459481518672526,k-NN
3,21845,65536,1.0921409473164483,0.686406167143848,0.40573478017260034,k-NN
3,43690,131072,1.0324139811196533,0.6592035113858951,0.3732104697337582,k-NN
3,87381,262144,1.0446298135451313,0.6807177274232507,0.36391208612188053,k-NN
50,327,16384,0.0818170160087041,0.006923974437021705,0.07489304157168239,KRR
62,528,32768,0.06896843879735977,0.004323341966410123,0.06464509683094964,KRR
80,819,65536,0.05672432581488658,0.002998526755552074,0.05372579905933452,KRR
100,1310,131072,0.04807161198058789,0.0016462440854223333,0.04642536789516554,KRR
126,2080,262144,0.0408359579701629,0.0008434357442420379,0.03999252222592086,KRR
3,5461,16384,0.39502612504921225,0.00021615860547223549,0.39480996644374,KS
3,10922,32768,0.39544907047082717,0.00011408581913104431,0.3953349846516961,KS
3,21845,65536,0.39487587184918305,5.920929650396132e-05,0.39481666255267917,KS
3,43690,131072,0.394786938023284,2.9530349598072778e-05,0.394757407673686,KS
3,87381,262144,0.39477148595933453,1.566650401358161e-05,0.394755819455321,KS
128,128,16384,0.0615643449682162,0.021494127348123823,0.04007021762009237,LR
181,181,32768,0.03965927951313614,0.008171315284720686,0.03148796422841547,LR
256,256,65536,0.025409757859677223,0.003540328388344072,0.021869429471333142,LR
362,362,131072,0.016062834548426882,0.0016616400636034123,0.014401194484823479,LR
512,512,262144,0.011628229809797979,0.0008237148748996158,0.010804514934898366,LR
