T,n,y,MSE,Variance,Bias^2,Method
3,85,256,1.7627480814656382,0.5825925064846331,1.180155574981005,k-NN
3,170,512,1.7726896365612128,0.6231136193390169,1.1495760172221958,k-NN
3,341,1024,1.7690373776167843,0.5889732982850021,1.1800640793317823,k-NN
6,341,2048,1.3436319772909044,0.45842894939870216,0.8852030278922024,k-NN
6,682,4096,1.382536578435142,0.462623367973259,0.9199132104618831,k-NN
6,1365,8192,1.4200580054595866,0.4681500264179792,0.9519079790416074,k-NN
6,2730,16384,1.4626667026849434,0.5019646916121431,0.9607020110728003,k-NN
6,42,256,1.0032436018599182,0.04722004961201022,0.9560235522479081,KRR
7,73,512,0.8436756272219093,0.04277980476414502,0.8008958224577643,KRR
10,102,1024,0.5622421135810112,0.031620220034106,0.5306218935469053,KRR
12,170,2048,0.4001804073508616,0.022184116763758335,0.3779962905871033,KRR
15,273,4096,0.2502450759794712,0.015044788980964856,0.23520028699850634,KRR
20,409,8192,0.12221776576755225,0.008387049992173686,0.11383071577537857,KRR
25,655,16384,0.07038093256895328,0.005163488991349097,0.06521744357760417,KRR
3,85,256,1.2959716748312848,0.030456831880217236,1.2655148429510676,KS
3,170,512,1.2734168275731745,0.017753691000422463,1.2556631365727524,KS
3,341,1024,1.2614988966227598,0.010977094605114488,1.2505218020176454,KS
6,341,2048,0.9496009000956703,0.010594789002511672,0.9390061110931587,KS
6,682,4096,0.9480589330987623,0.006506671221828703,0.9415522618769335,KS
6,1365,8192,0.943760033834309,0.004215405737799973,0.9395446280965091,KS
6,2730,16384,0.9432195339358743,0.0028384363673970552,0.9403810975684773,KS
16,16,256,0.7075996896797195,0.332387357167863,0.3752123325118566,LR
22,22,512,0.31504525127574023,0.08457829016969161,0.23046696110604867,LR
32,32,1024,0.14425266504851492,0.022943706431817576,0.12130895861669733,LR
45,45,2048,0.06783488136446099,0.010120202080118117,0.057714679284342894,LR
64,64,4096,0.03264050026079324,0.003243626475727965,0.029396873785065274,LR
90,90,8192,0.016213747799327684,0.0011719029587642456,0.015041844840563447,LR
128,128,16384,0.008263332372863539,0.00039260513468308855,0.007870727238180433,LR
